Ticker,Sector,Rows,Valid_Forward_Rows,Valid_Backward_Rows,Valid_Analysis_Rows,Total_Return,Mean_Weekly_Return,Weekly_Volatility,Max_Drawdown,Positive_Week_Rate,Target_Hit_5d_Rate,Target_Before_Stop_5d_Rate,Median_Max_Forward_Return_5d,Median_Min_Forward_Drawdown_5d
VRSN,Technology,323,319,273,269,0.33617737512232715,0.0049495343141736665,0.03617575124548766,-0.30881104026558803,0.5970149253731343,0.677115987460815,0.5360501567398119,0.022086041118841715,-0.0163752363721974
DGX,Healthcare,323,319,273,269,0.291865365653474,0.004158024964014923,0.029448694505083955,-0.09805042896750304,0.5671641791044776,0.677115987460815,0.5329153605015674,0.023501900635335415,-0.017520578661746833
LOGI,Technology,323,319,273,269,0.23824102270520542,0.004405331100548086,0.05251334502293155,-0.3758804376684408,0.5970149253731343,0.670846394984326,0.5297805642633229,0.0272108694878217,-0.018808490174550108
CBOE,Financial,323,319,273,269,0.5268784296155351,0.006807550029896065,0.0277995681710112,-0.1032421030514371,0.6268656716417911,0.7021943573667712,0.5297805642633229,0.024251020988987237,-0.01961553519099324
MTB,Financial,323,319,273,269,0.1593365402232252,0.0025770078824934625,0.03437887327488141,-0.22477470470752303,0.582089552238806,0.6614420062695925,0.5297805642633229,0.02120217126035029,-0.019305434298418578
KLAC,Technology,323,319,273,269,1.813986295036941,0.016795725672611145,0.059344183479386886,-0.2586062450306852,0.6268656716417911,0.8589341692789969,0.5297805642633229,0.04245533129928547,-0.027447729164755463
ALLE,Industrial,323,319,273,269,0.12232686394200543,0.0020634859337181764,0.03258980984323832,-0.22456477396969654,0.582089552238806,0.6551724137931034,0.5266457680250783,0.021093364910113932,-0.016631688219913898
UBSI,Financial,323,319,273,269,0.19573433641468307,0.0030658004020479215,0.032102572677044604,-0.1978609719172424,0.5522388059701493,0.6551724137931034,0.5235109717868338,0.02335092404014083,-0.01862827665049982
MLI,Industrial,323,319,273,269,0.5317947085323571,0.006943106412134831,0.03872615924056158,-0.22575077017530387,0.5970149253731343,0.7460815047021944,0.5235109717868338,0.02805338479388908,-0.019157087842611165
SSB,Financial,323,319,273,269,0.030206188713152393,0.0010142259649867427,0.035666364587724195,-0.25606946389999874,0.5671641791044776,0.6990595611285266,0.5203761755485894,0.025203759416153382,-0.024611525621077046
NOC,Industrial,323,319,273,269,0.42146534451000517,0.005968367284721373,0.0376195042228527,-0.1556098828180149,0.5671641791044776,0.6677115987460815,0.5109717868338558,0.02355928541352914,-0.018503745367779323
HXL,Industrial,323,319,273,269,0.4362460069902785,0.006131717962533869,0.045200591086695247,-0.32819352046521066,0.6119402985074627,0.7429467084639498,0.5109717868338558,0.03165384373799762,-0.02434822391360636
REGN,Healthcare,323,319,273,269,0.04946937843375565,0.0019784988399968425,0.05130868657970605,-0.3514359031720531,0.5223880597014925,0.7429467084639498,0.5109717868338558,0.032005720857393394,-0.0291367347777578
MCK,Healthcare,323,319,273,269,0.5301389436103132,0.006578917483051086,0.0323522857606842,-0.13967199327423463,0.6417910447761194,0.6677115987460815,0.5078369905956113,0.02257525083612033,-0.01887817536745151
CMI,Industrial,323,319,273,269,0.8040558138554987,0.009335474775734506,0.03975682554459901,-0.30810477361723143,0.6119402985074627,0.7241379310344828,0.5047021943573667,0.030699062143223266,-0.021191613597958292
KMT,Industrial,323,319,273,269,0.6420742786872844,0.008935892783964285,0.05526268965743135,-0.2893030511085961,0.5671641791044776,0.7617554858934169,0.5015673981191222,0.033168319355867615,-0.02406295433025485
IAC,Consumer,323,319,273,269,0.26906460311078684,0.004247000883261776,0.04321584842989683,-0.2435804693350324,0.5522388059701493,0.7554858934169278,0.49843260188087773,0.03290338230357448,-0.028299344640199786
VMC,Industrial,323,319,273,269,0.1414093324535215,0.002515632586757655,0.035577242308699054,-0.22202381326275467,0.5074626865671642,0.6551724137931034,0.49843260188087773,0.02284304908213497,-0.020786438768678583
MCO,Financial,323,319,273,269,-0.03698923604143822,0.000117276524999801,0.04165388393413898,-0.24793351995179014,0.5522388059701493,0.6489028213166145,0.49843260188087773,0.02076373825854816,-0.019860107905135593
YELP,Technology,323,319,273,269,-0.28487328507046406,-0.004044127585848125,0.04744239375025424,-0.5204848318388968,0.47761194029850745,0.6865203761755486,0.4952978056426332,0.025288060626334374,-0.02679692599372885
WAB,Industrial,323,319,273,269,0.3937132529813059,0.005540796986743527,0.037218269156422276,-0.2365386412145084,0.5223880597014925,0.664576802507837,0.4952978056426332,0.025680071373708868,-0.018030627039102964
JBHT,Industrial,323,319,273,269,0.4315420922884021,0.00605567533801366,0.04774337863409537,-0.3313856804262416,0.5223880597014925,0.7366771159874608,0.49216300940438873,0.031384446993991455,-0.024456338502536812
REG,Real Estate,323,319,273,269,0.12075891609557154,0.0018139307145614415,0.023731016717340507,-0.15770510475598642,0.5970149253731343,0.6175548589341693,0.49216300940438873,0.019375161962476906,-0.01544183290470258
BURL,Consumer,323,319,273,269,0.21504557242030886,0.003920304748910859,0.04861338201443744,-0.2653297298117294,0.5522388059701493,0.7836990595611285,0.4890282131661442,0.039280302918279775,-0.032354170719129605
HOPE,Financial,323,319,273,269,0.04590986742493586,0.0012128318314469466,0.03702074106431266,-0.2563265586385921,0.47761194029850745,0.6802507836990596,0.4890282131661442,0.023969318570004283,-0.02480158748930661
MSI,Technology,323,319,273,269,-0.037606469782228924,-0.00014383386548271404,0.032162113165702964,-0.2579441247591988,0.582089552238806,0.5956112852664577,0.48589341692789967,0.018904427122194978,-0.016189882387093735
ROK,Industrial,323,319,273,269,0.4800455313680574,0.006609533717380224,0.04156324688263313,-0.27911110709233544,0.6119402985074627,0.6896551724137931,0.48589341692789967,0.026888925057870328,-0.021685572601369163
HIW,Real Estate,323,319,273,269,-0.23157209448156635,-0.0033132720506888064,0.03650096331703416,-0.3655980026225458,0.5223880597014925,0.677115987460815,0.4827586206896552,0.02230740250034846,-0.02453155745639113
EWBC,Financial,323,319,273,269,0.24928543577918671,0.0041614649775693485,0.04444270425522951,-0.31642771363698974,0.5373134328358209,0.7021943573667712,0.4827586206896552,0.0262899356294235,-0.02264910894883365
